mes_ano,variacao_pct,data
janeiro 2015,1.24,2015-01-01
fevereiro 2015,1.22,2015-02-01
março 2015,1.32,2015-03-01
abril 2015,0.71,2015-04-01
maio 2015,0.74,2015-05-01
junho 2015,0.79,2015-06-01
julho 2015,0.62,2015-07-01
agosto 2015,0.22,2015-08-01
setembro 2015,0.54,2015-09-01
outubro 2015,0.82,2015-10-01
novembro 2015,1.01,2015-11-01
dezembro 2015,0.96,2015-12-01
janeiro 2016,1.27,2016-01-01
fevereiro 2016,0.9,2016-02-01
março 2016,0.43,2016-03-01
abril 2016,0.61,2016-04-01
maio 2016,0.78,2016-05-01
junho 2016,0.35,2016-06-01
julho 2016,0.52,2016-07-01
agosto 2016,0.44,2016-08-01
setembro 2016,0.08,2016-09-01
outubro 2016,0.26,2016-10-01
novembro 2016,0.18,2016-11-01
dezembro 2016,0.3,2016-12-01
janeiro 2017,0.38,2017-01-01
fevereiro 2017,0.33,2017-02-01
março 2017,0.25,2017-03-01
abril 2017,0.14,2017-04-01
maio 2017,0.31,2017-05-01
junho 2017,-0.23,2017-06-01
julho 2017,0.24,2017-07-01
agosto 2017,0.19,2017-08-01
setembro 2017,0.16,2017-09-01
outubro 2017,0.42,2017-10-01
novembro 2017,0.28,2017-11-01
dezembro 2017,0.44,2017-12-01
janeiro 2018,0.29,2018-01-01
fevereiro 2018,0.32,2018-02-01
março 2018,0.09,2018-03-01
abril 2018,0.22,2018-04-01
maio 2018,0.4,2018-05-01
junho 2018,1.26,2018-06-01
julho 2018,0.33,2018-07-01
agosto 2018,-0.09,2018-08-01
setembro 2018,0.48,2018-09-01
outubro 2018,0.45,2018-10-01
novembro 2018,-0.21,2018-11-01
dezembro 2018,0.15,2018-12-01
janeiro 2019,0.32,2019-01-01
fevereiro 2019,0.43,2019-02-01
março 2019,0.75,2019-03-01
abril 2019,0.57,2019-04-01
maio 2019,0.13,2019-05-01
junho 2019,0.01,2019-06-01
julho 2019,0.19,2019-07-01
agosto 2019,0.11,2019-08-01
setembro 2019,-0.04,2019-09-01
outubro 2019,0.1,2019-10-01
novembro 2019,0.51,2019-11-01
dezembro 2019,1.15,2019-12-01
janeiro 2020,0.21,2020-01-01
fevereiro 2020,0.25,2020-02-01
março 2020,0.07,2020-03-01
abril 2020,-0.31,2020-04-01
maio 2020,-0.38,2020-05-01
junho 2020,0.26,2020-06-01
julho 2020,0.36,2020-07-01
agosto 2020,0.24,2020-08-01
setembro 2020,0.64,2020-09-01
outubro 2020,0.86,2020-10-01
novembro 2020,0.89,2020-11-01
dezembro 2020,1.35,2020-12-01
janeiro 2021,0.25,2021-01-01
fevereiro 2021,0.86,2021-02-01
março 2021,0.93,2021-03-01
abril 2021,0.31,2021-04-01
maio 2021,0.83,2021-05-01
junho 2021,0.53,2021-06-01
julho 2021,0.96,2021-07-01
agosto 2021,0.87,2021-08-01
setembro 2021,1.16,2021-09-01
outubro 2021,1.25,2021-10-01
novembro 2021,0.95,2021-11-01
dezembro 2021,0.73,2021-12-01
janeiro 2022,0.54,2022-01-01
fevereiro 2022,1.01,2022-02-01
março 2022,1.62,2022-03-01
abril 2022,1.06,2022-04-01
maio 2022,0.47,2022-05-01
junho 2022,0.67,2022-06-01
julho 2022,-0.68,2022-07-01
agosto 2022,-0.36,2022-08-01
setembro 2022,-0.29,2022-09-01
outubro 2022,0.59,2022-10-01
novembro 2022,0.41,2022-11-01
dezembro 2022,0.62,2022-12-01
janeiro 2023,0.53,2023-01-01
fevereiro 2023,0.84,2023-02-01
março 2023,0.71,2023-03-01
abril 2023,0.61,2023-04-01
maio 2023,0.23,2023-05-01
junho 2023,-0.08,2023-06-01
julho 2023,0.12,2023-07-01
agosto 2023,0.23,2023-08-01
setembro 2023,0.26,2023-09-01
outubro 2023,0.24,2023-10-01
novembro 2023,0.28,2023-11-01
dezembro 2023,0.56,2023-12-01
janeiro 2024,0.42,2024-01-01
fevereiro 2024,0.83,2024-02-01
março 2024,0.16,2024-03-01
abril 2024,0.38,2024-04-01
maio 2024,0.46,2024-05-01
junho 2024,0.21,2024-06-01
julho 2024,0.38,2024-07-01
agosto 2024,-0.02,2024-08-01
setembro 2024,0.44,2024-09-01
outubro 2024,0.56,2024-10-01
novembro 2024,0.39,2024-11-01
dezembro 2024,0.52,2024-12-01
